horizon,policy_a,policy_b,set,n_series,n_origin_records,n_diff_series,mean_series_diff,median_series_diff,series_t,series_p,share_a_worse,sign_p,wilcoxon_p,cr_mean,cr_se,cr_t,boot_lo,boot_hi
3,trigg_cap8_tau0.6,fixed_f8,all_origins,4000,144000,3635,-0.00195824392753407,0,-2.98676108184666,0.00283660989391343,0.493810178817056,0.465520712022735,0.102213833116024,-0.00195824392753407,0.0006556413030276,-2.98676108184666,-0.0032162976911638,-0.000650732504677841
3,trigg_cap8_tau0.6,fixed_f8,divergent_origins,3630,35934,3630,-0.00718068859478986,-3.30009758985061e-08,-1.93526078423793,0.053035902182318,0.493939393939394,0.475418245093647,0.184882392634514,-0.00784736254515399,0.00262573446770366,-2.98863523394158,-0.0129626008860887,-0.00262870952542853
6,trigg_cap8_tau0.6,fixed_f8,all_origins,4000,144000,3614,-0.00119140439672894,0,-1.40710614266173,0.159473630713319,0.488378527946873,0.167377317109614,0.0761810041947204,-0.00119140439672894,0.000846705419447067,-1.40710614266173,-0.00282372687191464,0.000430625167141889
6,trigg_cap8_tau0.6,fixed_f8,divergent_origins,3607,35456,3607,-0.00410642781821344,-1.06065064009453e-07,-0.85074883903702,0.394965373283049,0.488217355142778,0.161911435289664,0.140423101453579,-0.00483873627107835,0.00343704509661698,-1.40781867419809,-0.011643235491642,0.00203957355663205
9,trigg_cap8_tau0.6,fixed_f8,all_origins,4000,144000,3653,-0.00121818057970725,0,-1.12884296133909,0.259031798669659,0.480700793868054,0.0205268646844548,0.0324903429635586,-0.00121818057970725,0.00107914087382197,-1.12884296133909,-0.00321111967938125,0.000957529507245259
9,trigg_cap8_tau0.6,fixed_f8,divergent_origins,3642,36631,3642,-0.00436659862935999,-7.60557676483809e-06,-0.844592764724537,0.398393741320554,0.480779791323449,0.0212509026803135,0.0449762440884893,-0.00478878554726383,0.00424244448224175,-1.12877977951367,-0.0130117755996888,0.00386821601583169
12,trigg_cap8_tau0.6,fixed_f8,all_origins,4000,144000,3641,-0.00407066516709841,0,-3.71110149954969,0.000209166301747966,0.481186487228783,0.0241911964819936,0.00581620670306222,-0.00407066516709841,0.00109688866434732,-3.71110149954969,-0.00619282563437943,-0.00192520117256716
12,trigg_cap8_tau0.6,fixed_f8,divergent_origins,3631,36404,3631,-0.0125190828780763,-1.49179901572483e-05,-2.36652622169019,0.0180081112218558,0.481410079867805,0.0261497435089895,0.00949271377303644,-0.0161019608814069,0.00433372389091248,-3.7155022531942,-0.0244013862115385,-0.00718960439018452
18,trigg_cap8_tau0.6,fixed_f8,all_origins,4000,144000,3673,-0.000958722689935666,0,-0.540504879512178,0.588878998006452,0.494963245303567,0.552512834726133,0.173291200829521,-0.000958722689935665,0.00177375399608037,-0.540504879512177,-0.00445451798011388,0.00248501117649031
18,trigg_cap8_tau0.6,fixed_f8,divergent_origins,3660,36612,3660,-0.0118162613963261,-1.81174436952869e-08,-0.847740788719649,0.396637793628236,0.495081967213115,0.562910813606675,0.321215014768393,-0.00377078737317137,0.00697675108954657,-0.540478988683032,-0.0180221723433586,0.00991422811554958
